user_id,rec
54,2 4 19 1 6 8 20 22 48 45 
55,14 20 15 4 5255 2 35 9 37 164 
56,4 6 1 99 8 7 106 84 66 60 
57,2 1 144 4 3 160 7 104 168 5 
58,101 7 3 2 1 36 41 6 4 40 
59,2 1 261 347 3 171 353 7 6 408 
60,
62,4 1 6 15 7 3 8 36 2 101 
63,2 4 20 1 6 8 3 80 65 9 
64,41 7 3 2 1 5 11 9 36 6 
65,
67,2 4 6 7 8 35 39 17 31 41 
68,4 2 8 96 138 6 25 3 9 34 
69,4 6 19 2 14 48 3 22 20 8 
70,1 2 74 22 19 33 24 67 66 26 
72,41 39 58 76 3 2 5 7 9 20 
73,2 4 21 10 1 15 8 3 34 6 
74,27 11 2 47 42 6 4 19 9 37 
75,2 14 1 56 9 19 80 84 11 7 
76,31 40 2 3 55 4 76 308 5 20 
77,6 1 7 19 3 22 8 48 15 33 
78,6 4 2 3 8 7 81 14 11 19 
79,138 66 208 3 1 2 77 8 7 34 
81,4 6 8 2 1 20 14 22 19 66 
82,55 76 3 2 4 7 20 1 33 9 
83,1 3 1083 31 5 39 9 4 40 41 
84,2 4 41 31 22 20 39 19 7 3 
85,41 31 39 60 116 4 1 2 9 7 
86,11 2 154 4 15 7 28 1 17 6 
88,2 4 1 99 3 6 31 346 133 8 
89,138 2 3 4 1 10 324 344 39 35 
90,4 1 9 3 21 2 13 7 8 35 
91,2 4 7 14 9 19 35 15 31 40 
92,14 6 1 32 7 88 20 4 2 26 
93,95 4 2 220 22 8 1 20 6 17 
94,11 4 6 1 28 2 51 42 14 37 
95,4 44 6 2 1 20 3 14 88 25 
96,72 4 8 1 2 7 88 766 118 6 
97,4 6 2 1 8 7 20 14 3 19 
98,3 7 2 1 15 4 8 78 25 40 
99,138 96 3 57 64 2 4 5 7 10 
100,313 764 3 2 15 636 4 99 8 11 
101,82 282 2 343 837 5 89 754 624 4 
102,15 1 2 6 3 101 41 67 9 32 
103,4 3 9 7 1 11 14 6 20 8 
104,2 1 4 9 3 6 8 19 11 32 
105,3 7 2 21 4 15 9 1 19 10 
107,39 55 4 2 3 7 1 20 33 9 
108,34 94 4 1 32 2 15 7 3 147 
109,4 2 7 1 3 8 51 15 14 131 
110,58 2 76 4 3 9 19 77 116 1 
111,2 1 35 95 4 59 22 20 3 19 
112,4 1 6 51 2 15 3 88 87 81 
113,9 104 56 168 184 224 149 2 240 372 
114,5 17 2 27 1 9 37 42 50 31 
115,4 2 1 6 3 14 7 44 19 26 
116,15 101 1 7 2 6 51 18 25 4 
117,88 4 2 87 7 25 1 179 15 6 
118,7 2 6 4 30 3 14 112 18 15 
119,4 6 2 1 3 7 9 179 88 32 
121,2 17 5 3134 1 2575 9 3659 14 20 
122,6 3 1 17 9 20 27 28 58 40 
123,4 33 1 2 20 6 19 65 8 103 
124,34 94 346 3 4 1 41 8 31 40 
126,4 2 1 8 6 44 88 20 177 25 
127,39 41 40 2 55 11 35 4 42 618 
128,28 11 42 50 37 1 5 4 6 2 
129,3 31 40 4 147 58 1 77 9 6 
130,1 6 116 148 8 2 20 175 26 14 
131,55 2 4 7 1 9 22 5 8 19 
132,133 2 171 139 4 335 474 269 254 1 
134,4 2 80 6 14 3 8 65 56 24 
135,2 4 14 1 20 3 7 22 15 48 
136,2 4 1 143 7 9 5 6 8 19 
137,2 1 4 6 8 14 20 7 9 48 
138,3 11 2 28 6 42 1 15 41 50 
139,31 6 22 14 58 45 56 24 103 33 
140,4 2 6 3 19 7 14 11 44 95 
141,5 31 39 22 7 14 40 35 17 58 
142,7 2 1 8 15 6 39 41 20 94 
143,2 17 28 4 27 1 47 42 50 19 
144,35 9 4 168 2 144 149 224 240 1 
145,1 56 3 28 22 6 47 19 42 144 
146,1 4 2 7 14 15 3 85 87 51 
147,1 2 48 22 3 80 33 9 95 14 
148,4 20 265 2 8 3 116 1 66 60 
149,2 17 1 4 14 50 47 27 37 7 
151,2 7 1 4 3 6 18 1207 26 11 
152,4 2 1 6 8 45 80 66 22 15 
153,17 27 42 37 2 145 1 136 6 4 
154,2 55 3 58 8 14 20 9 80 24 
156,42 1 37 4 6 22 136 5 9 3 
157,15 1 99 4 6 8 165 133 3 9 
158,1 19 20 8 14 103 33 35 65 95 
160,1 6 22 48 134 33 141 8 170 73 
163,5 4 2 7 1 3 9 17 19 33 
164,4 1 44 20 6 2 7 72 16 26 
165,2 6 3 7 4 22 8 9 19 39 
167,4 33 48 1 20 19 80 103 141 14 
168,
171,2 1 11 6 4 3 28 9 7 27 
172,40 76 3 1 4 7 5 33 20 6 
173,320 2 1 262 4 3 53 7 585 8 
174,154 1 6 15 298 4 7 2 11 29 
175,4 1 6 22 19 7 8 48 33 20 
177,27 1 4 145 6 5 22 9 8 136 
178,4 3 1 2 14 11 18 84 85 44 
181,6 4 512 2 8 1 35 15 20 1321 
182,28 27 11 42 37 145 5 2 1 6 
183,6 2 3 4 1 7 8 14 15 9 
184,1 47 2 27 50 42 22 19 8 14 
185,4 2 19 6 3 22 8 1 48 14 
187,17 11 28 2 1 4 5 37 35 22 
188,1 2 4 7 6 15 3 8 85 26 
189,94 4 6 88 44 32 51 66 346 67 
191,262 4 1 738 40 15 31 39 53 392 
192,4 2 24 14 38 7 22 3 9 19 
193,4 2 3 1 7 19 22 8 6 9 
194,10 2 7 1 51 21 3 81 4 6 
196,4 2 6 1 3 15 9 34 16 14 
197,242 430 467 2 573 3 4 1 7 119 
198,36 4 1 7 2 161 6 3 19 8 
199,4 8 2 1 6 9 39 7 22 31 
200,2 10 3 7 29 9 51 5 4 32 
201,4 1 20 22 14 48 8 33 73 141 
202,2 39 40 1 96 76 8 101 66 6 
203,7 4066 6 4 3 15 2 35 19 20 
205,4 22 6 33 8 3 14 103 45 65 
206,4 6 1 15 36 8 7 3 2 87 
207,4 6 8 14 2 44 20 238 72 135 
208,2 4 22 20 6 41 39 58 45 141 
210,433 399 2 582 9 3 1 4 325 139 
211,214 6 211 4 323 2 8 230 603 14 
212,51 4 7 15 81 6 2 8 107 365 
215,15 2 7 1 4 3 6 8 9 101 
216,2 3 1 4 7 10 6 9 19 15 
217,35 9 56 168 144 184 258 4 319 240 
218,1 4 2 7 6 16 88 43 109 9 
219,4 88 7 15 1 6 3 26 8 10 
220,7 2 3 137 30 10 1 6 9 15 
221,5 1 23 2 6 9 71 4 3 17 
223,1 4 6 20 3 19 9 33 14 22 
225,4 67 8 2 250 1 6 14 238 199 
226,1 4 19 33 8 9 31 48 11 24 
227,116 4 175 20 1 2 22 3 8 103 
228,4 1 3 2 8 7 61 20 74 189 
229,2 8 19 7 33 84 80 48 22 24 
230,7 2 4 6 108 1 3 15 14 30 
231,2 6 1 28 7 8 15 14 50 42 
232,4 6 2 20 8 19 14 7 33 48 
233,6 1 22 33 48 19 7 31 14 44 
234,42 27 11 1 47 50 28 4 37 2 
235,55 2 7 1 9 8 6 43 22 5 
236,116 175 4 3 1 8 134 309 6 9 
237,4 8 1 6 7 2 14 26 16 3 
238,4 2 80 1 8 174 6 33 22 20 
239,4 2 3 5 1 22 20 7 89 80 
240,2 4 1 3 6 8 11 14 41 40 
241,10 1 2 3 6 4 5 9 7 8 
242,2 105 7 4 36 15 9 1 14 3 
243,8 25 4 1 3 2 20 6 32 229 
245,1 6 4 2 7 8 203 211 14 11 
246,2 4 6 1 8 14 22 5 3 24 
247,56 168 184 149 382 310 2 1 4 373 
248,6 4 2 1 8 20 19 48 26 7 
249,39 55 3 2 4 7 20 1 5 6 
251,4 2 3 8 33 19 20 14 26 116 
253,2 3 80 14 33 20 44 48 15 22 
254,139 261 329 2 4 1 9 171 254 133 
255,20 14 24 3 9 45 73 7 103 44 
256,95 4 2 220 1 20 8 35 19 66 
257,2 1 20 6 8 33 22 14 170 80 
258,2 3 7 6 1 8 31 15 40 9 
259,4 2 8 6 3 19 36 9 20 14 
260,2 6 20 1 80 8 22 33 9 14 
261,
262,50 1 5 6 4 56 22 104 19 3 
263,6 1 8 20 14 24 84 67 7 9 
264,1 4 6 36 7 2 3 101 8 14 
265,1 4 2 7 14 3 8 26 20 106 
266,1 10 3 4 6 162 14 2 179 9 
267,2 1 3 4 7 15 8 6 9 20 
268,2 261 4 1 325 6 733 146 165 139 
269,17 28 42 1 2 50 9 27 35 37 
270,39 58 3 2 7 4 20 9 6 5 
271,2 4 1 7 11 3 6 15 80 20 
273,8 2 1 6 20 19 9 22 14 3 
274,2 7 102 6 3 9 35 156 4 1 
275,496 476 4 2 31 9 48 41 1 3 
276,7 2 3 8 4 1 161 40 41 6 
277,430 7 376 573 3 1 10 32 15 6 
278,138 4 324 7 2 1 10 344 3 8 
279,2 3 1 4 6 15 8 90 112 30 
280,35 104 149 9 2 56 224 168 373 144 
281,40 41 31 39 17 4 11 56 5 7 
282,2 8 66 116 3 20 14 7 80 25 
283,4 35 9 14 3 20 7 25 31 40 
285,4 1 6 2 8 14 20 66 3 41 
286,1 7 2 15 3 14 4 101 11 84 
287,41 40 39 31 76 3 2 7 1 9 
288,4 2 25 8 1 10 44 3 6 1095 
289,15 82 7 3 390 1 915 6 101 69 
290,34 4 36 1 2 72 51 8 6 32 
292,3 48 20 35 14 80 8 65 103 45 
293,4 1 19 22 48 14 8 33 24 103 
294,15 36 3 1 4 2 7 8 34 6 
295,4 2 34 99 104 1 94 3 8 35 
297,4 6 2 14 44 19 24 20 3 11 
299,2 45 8 20 80 6 14 48 65 33 
300,6 4 1 2 7 8 20 3 22 30 
301,31 39 58 3 2 4 1 6 8 9 
302,2 6 20 22 14 33 65 9 170 103 
303,16 8 44 25 2 3 1 7 4 6 
304,4 48 211 116 95 22 2 45 193 33 
305,1 3 7 6 4 15 29 10 117 51 
306,179 4 3 8 7 1 15 88 32 2 
307,4 1 60 2 77 3 175 8 116 20 
308,51 81 107 7 25 1 8 29 2 15 
309,2 1 43 29 7 4 13 3 6 15 
310,4 202 8 262 51 15 2 6 1 7 
311,4 8 716 1 2 44 20 6 12 67 
312,2 1 6 3 4 14 9 20 18 15 
314,35 9 4 2 224 149 240 3 382 310 
315,4 51 2 3 401 34 8 6 202 7 
316,
317,6 2 7 8 1 4 121 51 14 15 
318,2 4 35 1 9 22 3 56 168 31 
319,4 2 279 48 22 1 6 65 77 103 
320,4 2 1 44 6 3 7 19 25 16 
321,4 51 88 2 7 1 81 6 15 107 
322,2 682 769 19 1 600 4 14 17 722 
323,45 4 22 19 537 1 33 65 80 6 
324,35 224 56 9 104 4 319 2 558 288 
327,2 102 4 1 267 205 10 6 8 39 
328,105 2 24 285 4 155 7 14 6 60 
329,4 5 3 9 1 2 7 6 31 22 
330,171 254 314 165 269 4 563 325 1089 261 
331,4 7 1 2 109 10 3 43 154 85 
332,4 2 1 31 39 6 40 55 60 41 
334,1 4 31 7 41 5 39 56 35 40 
337,56 2 104 1 4 168 240 14 184 149 
338,11 28 42 50 1 9 37 4 3 35 
339,1 4 11 5 22 35 42 48 28 20 
340,2 4 1 6 3 9 41 15 31 39 
341,7 2 3 41 6 1 31 39 56 55 
342,4 6 1 51 7 2 26 15 19 8 
343,76 3 20 9 4 33 15 8 22 48 
344,2 4 3 7 6 34 15 94 8 19 
345,16 4 1 2 6 266 67 25 3 61 
346,1 2 80 14 20 33 17 48 44 16 
347,1 4 80 22 45 39 20 40 6 48 
349,4 1 6 9 22 20 14 8 3 24 
350,4 35 9 6 56 2 1 3 11 104 
351,21 1 13 10 8 7 109 43 438 4 
352,2 3 6 261 7 1 4 733 1090 19 
353,10 2 3 7 1 848 4 32 5 15 
354,
355,31 41 55 3 2 7 4 1 20 9 
356,1 2 48 134 6 33 8 66 77 65 
357,4 17 20 11 27 22 28 3 42 174 
358,7 54 3 68 4 2 283 6 8 10 
361,41 40 2 3 133 1 4 76 64 98 
363,2 117 7 3 6 10 51 15 4 1 
364,4 6 2 1321 1 1464 70 1304 14 7 
365,15 7 3 4 1 6 2 8 51 14 
366,6 14 24 46 19 8 7 22 48 20 
367,15 2 3 133 1 171 4 146 388 7 
368,3 5 28 7 1 9 17 37 4 35 
369,60 148 4 3 1 2 304 6 20 134 
370,2 4 6 1 14 3 7 19 15 8 
371,7 4 298 1 3 2 15 88 6 8 
373,2 4 20 6 1 14 39 74 19 22 
374,2 4 1 3 6 44 16 31 41 20 
375,1 20 22 103 19 14 24 65 33 73 
376,259 536 7 2 3 1 4 9 26 15 
377,17 11 9 27 41 40 71 23 39 4 
379,15 6 3 7 101 2 4 85 51 9 
380,6 4 1 14 2 7 17 8 84 106 
381,2 5 7 3 4 1 10 40 6 9 
382,4 2 1 6 45 22 8 19 26 220 
383,4 45 2 95 1 6 20 8 15 3 
384,4 95 2 1 6 220 22 19 20 11 
385,2 22 6 20 103 116 170 31 65 24 
386,9 3 8 6 14 19 22 35 33 20 
387,15 2 7 6 1 155 30 18 3 4 
388,4 2 8 15 6 25 3 7 14 51 
389,4 33 1 2 80 20 3 14 65 157 
391,4 6 7 19 3 14 20 44 36 80 
392,4 2 3 300 6 8 156 1 9 35 
393,4 1 3 8 7 2 34 6 66 60 
394,4 17 2 3 22 7 20 5 14 8 
395,2 4 1 7 6 8 14 67 24 278 
398,1316 1674 1 1767 12 9 3 2 5 4 
399,6 7 2 3 1 9 90 14 4 8 
400,17 50 47 35 42 2 1 145 5 4 
401,2 59 4 7 6 15 160 3 1 259 
402,
403,2 6 22 14 19 33 8 9 24 7 
404,2 1 4 48 22 8 17 20 3 157 
405,4 6 168 3 7 144 149 11 19 13 
406,4 34 2 6 540 147 8 3 1 31 
407,4 2 3 6 44 20 26 14 9 15 
409,99 3 41 31 147 58 2 1 4 53 
410,2 254 4 133 171 165 1 269 9 146 
411,4 9 6 20 22 7 56 33 141 8 
412,179 8 6 34 88 255 118 99 2 1 
413,6 2 22 8 1 20 48 14 33 84 
414,7 8 4 2 6 3 1 41 39 49 
415,97 1 5 3 2 4 56 35 17 27 
416,2 7 10 1 9 6 4 37 107 35 
417,88 1 7 34 87 81 94 29 2 15 
418,36 1 3 4 10 101 2 6 8 51 
419,99 34 94 3 262 15 53 2590 715 4 
420,41 1 2 146 55 60 148 58 76 139 
421,6 4 1 108 106 88 14 84 15 8 
422,208 344 4 3 15 8 1 2 85 34 
423,4 6 1 2 72 8 14 34 183 3 
424,44 1 2 6 19 20 3 14 9 80 
425,4 6 2 1 7 66 15 8 20 19 
426,27 28 11 50 37 1 2 5 136 4 
427,1 6 4 14 15 51 11 8 31 41 
428,4 16 1 3 25 7 2 44 6 20 
429,4 7 3 6 88 51 8 9 1 202 
430,4 1 6 3 20 9 7 22 19 80 
431,2 4 11 203 188 7 211 35 8 3 
432,4 6 8 2 7 19 3 14 66 67 
433,3 8 16 44 25 20 19 2 1 6 
435,7 90 1 2 4 6 8 72 30 11 
436,1 6 22 3 44 19 9 7 16 24 
437,4 48 2 1 33 20 6 103 31 9 
438,2 9 4 11 3 5 17 1 7 168 
439,31 41 2 4 58 9 7 19 22 48 
440,11 17 6 1 27 4 28 42 14 50 
441,1 2 17 4 9 5 3 80 14 27 
442,96 182 4 344 3 8 1 6 2 66 
443,6 4 2 1 20 14 8 26 22 19 
444,4 2 6 9 1 14 20 3 19 8 
445,2 28 11 42 5 4 27 8 9 6 
446,4 7 8 51 81 1 26 202 15 25 
447,2 4 6 7 9 1 22 3 8 45 
448,1 42 27 2 28 9 47 4 50 6 
449,
450,8 2 4 1 52 7 44 25 6 20 
453,4 2 6 7 3 8 15 26 81 24 
454,39 40 2 3 4 77 20 66 1 148 
455,4 2 27 14 42 19 8 188 3 50 
456,67 4 1 8 278 6 2 14 135 546 
457,828 89 2 236 706 3 547 23 41 22 
458,41 2 34 1 4 8 20 26 36 9 
459,4 1 116 3 6 9 148 8 22 20 
460,40 58 3 55 4 2 7 1 6 9 
461,1 2 7 56 6 11 22 8 19 20 
462,2 4 6 7 3 9 14 8 37 11 
463,2 3 4 1 47 17 20 8 27 42 
464,4 2 8 1 7 22 3 6 44 20 
465,4 1 6 7 3 8 11 14 19 9 
466,2 1 20 8 6 24 77 170 66 60 
467,2 4 6 90 3 14 8 84 24 15 
468,6 4 7 2 3 14 1 19 31 39 
469,4 2 1 138 8 96 25 6 66 208 
470,2 9 1 97 3 4 5 17 35 152 
471,48 2 1 19 20 3 6 65 73 95 
472,5 582 2 7 3 9 11 41 293 37 
473,3 7 1 4 41 8 40 15 2 31 
474,4 1 2 6 8 238 95 7 22 24 
475,
476,2 7 1 4 6 8 3 9 938 14 
477,1 4 2 11 6 14 3 8 9 17 
478,2 4 93 7 41 154 38 15 39 31 
479,67 4 177 8 2 1 14 250 6 7 
480,2 23 3 1 7 9 4 31 17 11 
481,750 857 17 5 19 2 986 1 1281 832 
482,35 2 1 4 56 6 22 7 20 39 
483,1 2 3 9 7 4 15 10 6 11 
484,2 347 1 35 139 292 261 56 388 4 
485,1 6 2 7 4 14 3 8 15 9 
486,9 4 1 3 31 41 19 10 7 5 
487,4 1 6 2 135 16 67 14 20 250 
488,4 1 9 133 13 43 8 6 5 20 
489,4 88 72 179 8 26 1 401 51 6 
490,66 60 116 175 148 2 3 4 8 19 
491,2 4 1 7 6 14 3 63 8 22 
493,59 2 9 4 259 6 1 7 3 35 
494,2 8 14 31 3 72 24 48 40 7 
495,15 7 3 1 2 29 6 4 51 10 
496,4 2 1 6 8 67 135 14 199 26 
498,35 4 1 6 19 3 22 31 7 20 
499,1 11 6 27 48 14 42 33 20 28 
500,36 101 3 34 1 4 7 2 6 85 
501,76 3 4 19 20 1 45 7 9 8 
503,4 33 5 2 48 1 19 20 65 73 
504,45 4 2 5 20 1 3 8 35 17 
505,7 15 2 3 41 1 9 31 36 40 
506,
508,2 4 39 96 22 41 9 1 31 66 
509,39 2 4 22 76 11 6 9 48 7 
510,116 60 20 8 175 22 24 9 14 7 
511,39 40 3 1 15 20 66 8 6 116 
512,9 4 2 1 22 6 19 20 3 14 
514,4 2 22 20 1 6 73 48 194 8 
515,4 1 2 14 8 7 3 24 20 15 
516,59 4 2 3 259 5 9 7 22 584 
518,1 2 6 16 278 135 177 20 19 25 
519,15 1 2 3 36 7 4 411 8 101 
520,7 4 8 16 6 2 88 1 51 15 
521,6 1 4 3 2 7 20 24 9 14 
522,2 1 8 3 25 19 32 6 7 66 
523,282 2 89 3 4 1143 5 7 9 33 
524,2 7 3 82 4 15 236 1 32 9 
525,2 6 4 7 36 81 87 18 16 34 
526,36 3 101 7 1 8 4 6 34 303 
527,
528,4 1 6 103 60 8 48 22 14 134 
529,1 2 4 6 3 14 8 26 16 20 
530,28 50 27 42 37 2 1 6 4 14 
532,2 509 5 1 31 40 7 9 4 3 
533,66 4 175 304 20 44 134 83 19 7 
535,1 17 11 2 42 3 14 4 6 28 
536,55 39 2 4 48 1 9 20 103 170 
537,6 4 1 14 8 264 7 88 3 2 
538,261 347 2 408 139 1 3 171 441 799 
539,1 8 2 177 14 6 44 25 20 199 
540,1 2 4 66 77 3 34 428 625 60 
542,4 2 6 1 20 8 7 3 41 51 
544,82 2 89 343 4 3 936 33 1207 805 
545,4 2 20 1 6 22 33 48 80 14 
546,58 55 76 3 7 2 4 20 1 15 
547,1 4 36 7 44 6 2 19 38 20 
549,60 175 4 304 1 20 44 6 378 309 
550,4 2 7 1 33 3 22 6 15 10 
551,11 17 28 2 4 50 6 1 9 19 
552,4 8 1 44 6 66 99 94 2 32 
553,41 39 3 4 1 6 77 20 60 32 
554,1 4 3 6 8 30 87 14 19 11 
555,249 3 129 1 242 32 2 7 10 313 
556,2 5 4 159 3 120 9 41 1 40 
557,3 1 2 9 5 7 22 20 6 19 
558,3 2 31 40 41 58 9 7 39 35 
559,3 1 2 8 34 10 483 401 16 9954 
560,2 3 4 1 31 40 41 6 7 8 
563,22 20 2 6 1 60 77 65 19 141 
565,4 2 112 1 3 6 68 11 54 14 
566,1 6 4 2 60 8 46 118 88 728 
567,1604 1425 697 2637 1796 1729 1883 1870 2683 2 
568,6 2 28 14 4 8 17 7 9 37 
569,4 1 7 3 8 15 19 22 11 33 
570,138 324 344 66 4 7 3 10 2 60 
571,2 1 6 4 8 20 14 11 80 33 
572,1 2 3 4 6 19 451 569 7 564 
573,4 2 6 8 3 14 24 38 7 22 
574,4 1 6 20 19 80 3 7 48 8 
575,1 6 4 8 7 199 3 14 66 34 
576,4 77 116 20 1 60 3 2 175 6 
577,6 4 37 17 47 2 27 50 9 7 
578,6 4 1 2 62 14 7 106 88 34 
579,2 6 1 4 14 8 88 3 87 9 
580,4 77 66 1 20 2 175 6 3 148 
581,17 27 1 4 42 22 3 37 33 9 
582,4 7 34 10 1 2 6 88 3 32 
583,203 214 358 4 2 8 7 232 85 11 
585,17 2 11 6 28 47 5 22 9 19 
586,34 3 4 147 2 1 53 15 66 39 
587,39 31 2 3 4 9 7 50 99 129 
588,2 4 6 3 7 14 1 11 41 8 
590,2 4 6 3 1 9 7 8 14 33 
591,2 4 11 14 19 27 42 22 20 3 
594,376 7 2 15 119 4 41 40 34 39 
595,40 4 2 3 55 7 48 33 22 26 
596,2 1 4 40 55 41 31 5 9 83 
597,2 1 6 8 20 48 19 3 103 80 
598,1 4 6 2 3 9 14 8 19 18 
599,13 71 23 1 2 9 3 27 17 42 
601,4 40 2 39 55 58 6 22 20 19 
602,4 48 2 103 33 20 6 19 141 24 
603,8 6 1 3 19 7 20 33 22 41 
604,4 1 2 6 9 8 3 14 199 250 
605,1 2 145 4 14 9 136 19 56 5 
606,1573 1723 37 35 30 4 2 26 17 18 
607,6 2 7 1 3 4 17 14 8 19 
608,
609,1 4 8 2 6 72 7 108 20 88 
610,4 2 9 3 6 7 35 1 22 56 
611,2 22 48 3 4 19 20 8 10 7 
612,4 2 6 1 14 3 17 8 7 11 
613,3 2 36 1 7 101 4 236 9 31 
614,2 3 1 4 7 6 14 15 9 41 
615,1 3 4 6 9 17 15 19 8 28 
616,4 1 6 33 7 26 14 8 20 3 
617,1 6 14 8 34 24 15 26 25 22 
620,1 60 2 116 66 148 3 35 20 25 
621,2 15 1 4 51 9 8 3 6 35 
622,4 2 22 20 6 48 1 3 73 19 
623,11 17 47 50 27 37 42 1 5 2 
624,28 27 11 42 37 145 5 2 1 9 
625,1 4 8 6 7 2 3 88 15 51 
626,11 17 27 2 47 42 1 4 6 19 
627,8 20 3 80 33 14 9 25 74 24 
629,88 15 4 81 2 202 7 1 34 6 
630,27 22 28 1 2 19 5 3 6 80 
631,51 2 1 21 29 7 6 4 81 107 
632,8 1 2 20 278 3 238 22 25 164 
633,1 60 4 20 8 175 148 3 19 48 
634,41 31 39 1 2 3 55 76 4 20 
635,2 19 1 4 20 22 6 80 3 33 
637,3 4 7 2 15 32 39 8 25 20 
638,6 4 1 2 28 14 7 9 17 88 
639,22 1 4 2 6 20 11 42 141 14 
640,8 4 1 6 3 2 52 14 25 67 
641,39 11 55 40 3 76 1 4 22 7 
642,936 3 547 624 5 2 754 1290 978 7 
643,4 10 121 125 2 1 7 51 32 494 
644,2 1 4 8 6 3 14 16 15 88 
645,2 6 1 14 4 159 7 3 117 38 
646,4 2 14 8 7 3 24 203 15 19 
647,34 3 32 4 1 99 7 94 15 2 
648,1 85 8 2 6 7 20 3 99 15 
649,2 37 1 4 47 6 28 17 7 3 
651,3 34 7 4 94 15 99 1 10 8 
652,4 1 9 6 3 165 22 31 103 20 
653,2 9 17 22 3 50 224 48 7 33 
654,1 4 6 7 41 14 9 30 39 40 
656,6 3 24 14 20 19 31 39 323 85 
657,2 4 7 1 9 6 3 8 26 30 
658,41 40 39 3 2 4 20 7 22 1 
659,31 55 3 1 20 22 6 48 103 35 
660,8 6 1 3 51 2 72 34 14 94 
661,1721 733 554 59 225 994 122 2021 7782 325 
662,6 7 15 94 1 4 8 99 2 14 
663,4 6 19 2 1 20 8 14 48 22 
665,2 4 6 8 3 7 22 74 80 25 
666,6 4 15 7 1 8 2 3 392 715 
668,4 2 6 80 14 65 103 45 7 74 
670,1 2 4 6 22 3 170 9 48 20 
672,99 4 94 1 2 6 8 7 31 40 
673,35 104 9 168 56 2 144 373 1 4 
674,60 2 66 77 1 4 116 3 7 8 
675,4 1 8 2 7 44 52 6 36 10 
677,1 3 4 41 6 40 39 9 20 11 
678,4 95 6 45 19 14 24 220 8 93 
679,4 1 2 3 14 7 25 24 67 33 
680,2 22 3 20 4 40 39 41 55 7 
683,2 4 6 20 8 95 1 7 26 80 
684,182 208 324 4 2 344 3 66 7 15 
686,3 2 6 4 8 1 15 88 25 51 
688,20 6 58 33 103 3 7 141 170 74 
689,2 4 7 1 8 6 40 41 15 9 
692,4 1 8 2 88 72 7 3 6 108 
693,465 2 22 1 768 1024 3 191 19 6 
694,4 95 2 8 1 20 191 22 14 537 
695,9 3 4 1 35 6 15 31 18 8 
697,11 50 17 27 2 9 47 42 35 1 
698,22 2 20 1 6 19 65 24 8 14 
699,4 88 6 7 87 202 51 1 2 179 
700,4 6 1 22 9 20 19 8 33 24 
701,6 1 2 3 16 74 33 22 19 25 
702,4 14 1 6 7 18 10 15 9 11 
703,13 9 2 43 1 98 3 4 17 27 
704,4 1 15 2 7 3 88 36 51 81 
705,15 7 101 2 3 6 4 9 1 8 
706,39 55 3 2 7 20 1 8 9 36 
708,1 9 2 3 6 16 20 19 33 25 
709,3 9 7 282 41 31 5 39 33 55 
710,4 8 1 598 2 25 6 67 16 352 
711,31 41 58 1 76 7 20 9 48 19 
712,88 15 4 51 6 81 3 1 36 87 
713,3 2 160 7 1 6 4 8 18 161 
714,99 94 4 3 8 1 66 738 2 44 
715,57 29 2 4 3 348 109 9 5 21 
